Lig,Ev Sahibi,Misafir,IY,MS,1,X,2,1,X,2,H1,HX,H2,h,Var,Yok,1 X,1 2,X 2,A,U,A,U,A,U,A,U,0 1,2 3,4 6,7+
 ASK,Katar,Birlesik Arap E,2   0,4   0,1.9,2.6,3.5,2.6,1.6,4,3.75,3,1.5,1 , , ,1.1,1.23,1.49,1.05,3.4,2.05,1.3,1.25,2.5,1.01,4,2.05,1.75,4.75,28
 FÝK,Helsinki,Hifk,1   0,1   0,1.15,4.4,9.5, , , , , , ,, , , ,1.03,3.01, , , , , , , , , , , , 
 POR2,Farense,Porto (B),0   0,0   0,2.4,2.7,2.4, , , , , , ,, , ,1.27,1.2,1.27, , , , , , , , , , , , 
 POR2,Estoril,Braga (B),1   0,2   1,1.45,3.3,4.75, , , , , , ,, , , ,1.11,1.95, , , , , , , , , , , , 
 POR2,Varzim,Leixoes,0   0,2   1,2.3,2.7,2.4, , , , , , ,, , ,1.24,1.17,1.27, , , , , , , , , , , , 
 TÜK,Galatasaray,Boluspor,2   0,4   1,1.25,4,6.5,1.5,2.35,5,1.65,3.6,2.55,1 ,1.45,1.8, ,1.05,2.48,1.4,1.85,4,1.01,2.05,1.4,1.4,1.85,4,2.05,2.15,10
 AL2,Bochum,Duisburg,2   0,2   1,1.65,3.1,3.75,2.1,1.9,4,2.6,3.3,1.7,1 ,1.5,1.7,1.08,1.15,1.7,1.2,2.4,2.9,1.1,1.7,1.65,1.2,2.4,2.9,1.8,2.9,16
 FR2,Metz,Nancy,1   0,3   0,1.45,3.2,5,1.95,1.75,4.5,2.25,3.1,1.95,1 ,1.85,1.5, ,1.12,1.95,1.1,2.9,2.4,1.2,1.4,2.05,1.05,3.4,2.4,1.75,3.75,20
 POR,Benfica,Boavista,2   1,5   1,1.05,5.8,12.7,1.25,2.8,10,1.3,3.75,4.15,1 ,1.7,1.5, , ,3.98,1.4,1.85,4,1.01,2.05,1.4,1.4,1.85,4,2.1,2.15,9
 POR,Portimonense,Chaves,0   1,0   1,1.6,2.9,4.35,2.05,1.75,4.25,2.5,3.25,1.75,1 ,1.45,1.8, ,1.17,1.74,1.25,2.2,3.4,1.05,1.7,1.65,1.25,2.2,3.4,1.8,2.6,15
 DUEL,Aberdeen,Benfica,3   2,4   5,1.75,4.75,2.05, , , , , , ,, , ,1.28, ,1.43, , , , , , , , , , , , 
 AL2,Darmstadt,St Pauli,0   1,2   1,2.5,2.9,2.2,3.1,1.75,2.7,1.35,3.2,4.25,,1.45,1.8,1.34,1.17,1.25,1.15,2.6,2.6,1.15,1.55,1.8,1.1,2.9,2.6,1.8,3.2,20
 AL2,Greuther Furth,Ingolstadt,0   0,0   1,2.6,2.9,2.1,3.2,1.75,2.6,1.4,3.6,3.5,,1.45,1.8,1.37,1.16,1.22,1.2,2.4,2.9,1.1,1.6,1.75,1.2,2.4,2.9,1.8,2.9,16
 AL2,Magdeburg,Aue,1   0,1   0,1.9,2.9,3.05,2.6,1.7,3.5,3.6,3,1.5,1 ,1.55,1.65,1.15,1.17,1.49,1.15,2.6,2.6,1.15,1.5,1.85,1.05,3.4,2.6,1.75,3.3,22
 ÝKK,Stenhousemuir,Aberdeen,0   3,1   4,12.5,6.25,1.05,10,2.9,1.25,4.15,4,1.25,,1.8,1.45,4.17, , ,1.55,1.65,4,1.01,2.5,1.25,1.6,1.6,4,2.25,1.95,8
 BEK,Union St.G,Mechelen,0   1,1   2,2.4,2.9,2.3,3.05,1.7,3,1.3,3.2,5,,1.55,1.65,1.31,1.17,1.28,1.15,2.6,2.6,1.15,1.45,1.95,1.05,3.4,2.6,1.75,3.4,22
 ÝNP,Arsenal,Cardiff,0   0,2   1,1.1,5.5,10,1.3,2.8,8,1.35,3.75,3.55,1 ,1.7,1.5, , ,3.55,1.55,1.65,4,1.01,2.5,1.25,1.6,1.6,4,2.25,1.95,8
 ÝNP,Fulham,Brighton,0   2,4   2,2.05,2.75,2.85,2.8,1.7,3.4,4.25,3.1,1.4,1 ,1.55,1.65,1.17,1.19,1.4,1.15,2.6,2.6,1.15,1.45,1.95,1.05,3.4,2.6,1.75,3.3,22
 ÝNP,Huddersfield,Everton,0   1,0   1,3.2,2.8,1.9,3.6,1.65,2.6,1.5,3,3.6,,1.8,1.55,1.49,1.19,1.13,1.1,2.9,2.4,1.2,1.45,1.95,1.05,3.4,2.4,1.75,3.6,25
 ÝNP,Wolverhampton,West Ham,0   0,3   0,1.8,2.9,3.3,2.3,1.75,3.6,2.9,3.4,1.55,1 ,1.45,1.8,1.11,1.16,1.54,1.2,2.4,2.9,1.1,1.65,1.7,1.2,2.4,2.9,1.8,2.9,16
 ÝNCL,Swansea,Birmingham,1   1,3   3,1.85,3,3.1,2.5,1.75,3.5,3.6,3,1.5,1 ,1.55,1.65,1.14,1.16,1.52,1.15,2.6,2.6,1.15,1.55,1.8,1.1,2.9,2.6,1.8,3.2,20
 ÝN1,Blackpool,Wycombe,0   1,2   2,2.1,2.8,2.7,2.8,1.65,3.3,4.25,3.1,1.4,1 ,1.8,1.55,1.2,1.18,1.37,1.1,2.9,2.4,1.2,1.45,1.95,1.05,3.4,2.4,1.75,3.6,25
 ÝN1,Bradford,Shrewsbury,2   1,4   3,2.4,2.9,2.3,3,1.75,2.9,1.3,3.2,5,,1.45,1.8,1.31,1.17,1.28,1.15,2.6,2.6,1.15,1.5,1.85,1.1,2.9,2.6,1.8,3.2,20
 ÝN1,Bristol Rovers,Peterborough,2   1,2   2,2.2,3.2,2.3,2.7,1.95,2.9,4.25,3.2,1.35,1 ,1.45,1.8,1.3,1.12,1.34,1.15,2.6,2.6,1.15,1.7,1.65,1.1,2.9,2.6,1.8,3.2,20
 ÝN1,Gillingham,Accrington,0   0,0   0,2.55,3,2.1,3,1.8,2.7,1.4,3.6,3.5,,1.35,1.95,1.38,1.15,1.24,1.25,2.2,3.4,1.05,1.7,1.65,1.25,2.2,3.4,1.85,2.5,14
