Lig,Ev Sahibi,Misafir,IY,MS,1,X,2,1,X,2,h,H1,HX,H2,h,Var,Yok,1/X,1/2,X/2,A,U,A,U,A,U,A,U,0 1,2 3,4 6,7+
 AVUS,Melbourne City,Brisbane Roar,1   0,4   1,1.15,4.80,8.00,1.35,2.60,6.50,,1.45,3.75,3.15,1 ,1.60,1.60, , ,3.00,1.40,1.85,4.00,1.01,2.15,1.35,1.40,1.85,4.00,2.05,2.15,10.00
 JAP,Kashima,Nagoya,0   0,2   1,1.90,3.10,2.85,2.45,1.90,3.25,, , , ,,1.35,1.95,1.18,1.14,1.48, , ,3.40,1.05,1.85,1.50,1.25,2.20, , , , 
 JAP,Kawasaki,Cerezo Osaka,0   1,1   1,1.45,3.45,4.60,1.95,2.00,4.25,, , , ,,1.60,1.60, ,1.10,1.97, , ,2.90,1.10,1.65,1.70,1.15,2.60, , , , 
 JAP,Urawa,Yokohama Marino,0   1,0   3,2.00,3.20,2.60,2.60,2.00,3.00,, , , ,,1.30,2.05,1.23,1.13,1.43, , ,3.75,1.02,1.85,1.50,1.30,2.05, , , , 
 ÇÝN,Beijing Guoan,Jiangsu Suning,1   0,3   0,1.40,3.75,4.60,1.65,2.35,4.50,,1.95,3.50,2.05,1 ,1.35,1.95, ,1.07,2.07,1.40,1.85,4.00,1.01,2.05,1.40,1.40,1.85,4.00,1.90,2.20,9.50
 ÇÝN,Shanghai Sipg,Chongqing Lifan,0   2,2   3,1.05,6.25,12.50,1.25,2.90,10.00,,1.25,4.00,4.15,1 ,1.80,1.45, , ,4.17,1.60,1.60,4.00,1.01,3.00,1.15,1.65,1.55,4.50,2.25,1.90,6.50
 ÇÝN,Shenzhen Fc,Shandong Luneng,0   0,1   1,3.50,3.40,1.60,3.60,2.15,2.00,1 ,1.75,3.30,2.50,,1.30,2.05,1.72,1.10,1.09,1.40,1.85,4.00,1.01,2.15,1.35,1.45,1.80,4.00,1.85,2.25,10.50
 ÇEK,Pribram,Opava,1   0,3   1,2.15,3.00,2.50,2.70,1.80,2.95,, , , ,,1.35,1.95,1.25,1.16,1.36, , ,3.40,1.05,1.70,1.65,1.25,2.20, , , , 
 POL,Korona Kielce,Zaglebie Lubin,0   0,0   2,2.00,3.00,2.70,2.70,1.75,3.30,, , , ,,1.55,1.65,1.20,1.15,1.42, , ,2.60,1.15,1.50,1.85,1.10,2.90, , , , 
 AL2,Arminia Bielef,Aue,1   0,2   1,1.70,3.20,3.30,2.10,2.00,3.40,,2.80,3.20,1.65,1 ,1.30,2.05,1.11,1.12,1.62,1.25,2.20,3.75,1.02,1.95,1.45,1.35,1.95,3.75,1.85,2.25,12.00
 AL2,Regensburg,Bochum,0   0,2   1,1.90,3.20,2.80,2.45,2.00,3.15,,3.40,3.30,1.50,1 ,1.30,2.05,1.19,1.13,1.49,1.30,2.05,3.75,1.02,1.95,1.45,1.30,2.05,3.75,1.85,2.25,12.00
 DAN,Horsens,Aarhus,0   1,0   3,2.30,2.80,2.40,3.00,1.70,3.05,,5.00,3.20,1.30,1 ,1.55,1.65,1.26,1.17,1.29,1.15,2.60,2.60,1.15,1.50,1.85,1.05,3.40,2.60,1.75,3.40,22.00
 AL3,Preussen Munst,Sv Meppen,1   1,1   1,2.00,2.90,2.80,2.50,1.75,3.30,, , , ,,1.50,1.70,1.18,1.17,1.42, , ,2.60,1.15,1.60,1.75,1.10,2.90, , , , 
 ÝSÇ2,Gais,Oster,0   1,1   1,2.10,2.90,2.60,2.60,1.75,3.20,,3.50,3.60,1.40,1 ,1.45,1.80,1.22,1.16,1.37,1.20,2.40,2.90,1.10,1.60,1.75,1.20,2.40,2.90,1.80,2.90,16.00
 AU2,Avusturya Wien,Austria Klagenf,0   1,1   1,2.80,3.20,1.90,3.15,2.00,2.45,, , , ,,1.30,2.05,1.49,1.13,1.19, , ,3.75,1.02,1.95,1.45,1.30,2.05, , , , 
 AU2,Floridsdorfer,Blau Weiss Linz,0   1,0   2,2.50,3.10,2.10,3.10,1.90,2.60,, , , ,,1.45,1.80,1.38,1.14,1.25, , ,2.90,1.10,1.65,1.70,1.20,2.40, , , , 
 AU2,Liefering,Avusturya Luste,1   1,1   2,1.85,3.10,2.95,2.35,1.90,3.40,, , , ,,1.40,1.85,1.16,1.14,1.51, , ,3.40,1.05,1.80,1.55,1.30,2.05, , , , 
 AU2,Pasching,Wiener Neustadt,1   0,2   1,2.45,2.95,2.20,3.10,1.85,2.70,, , , ,,1.45,1.80,1.34,1.16,1.26, , ,2.90,1.10,1.60,1.75,1.20,2.40, , , , 
 AU2,Sv Horn,Ried,0   2,0   5,4.70,3.65,1.40,4.50,2.25,1.75,, , , ,,1.50,1.70,2.05, , , , ,3.40,1.05,1.85,1.50,1.30,2.05, , , , 
 AU2,Wattens,Kapfenberg,1   1,2   1,1.40,3.50,5.00,1.75,2.20,4.75,, , , ,,1.55,1.65, ,1.09,2.06, , ,2.90,1.10,1.70,1.65,1.15,2.60, , , , 
 SSL,Trabzonspor,Antalyaspor,1   1,4   1,1.40,3.60,4.70,1.70,2.30,4.50,,1.95,3.50,2.05,1 ,1.40,1.85, ,1.08,2.04,1.35,1.95,3.75,1.02,1.95,1.45,1.35,1.95,3.75,1.95,2.25,12.00
 FR2,Clermont,Nancy,1   1,2   3,1.60,2.90,4.40,2.10,1.65,4.25,,2.60,3.10,1.75,1 ,1.85,1.50, ,1.17,1.75,1.10,2.90,2.20,1.25,1.35,2.15,1.02,3.75,2.20,1.75,4.25,22.00
 FR2,Gfco Ajaccio,Ajaccio,0   0,1   0,2.40,2.50,2.60,3.05,1.55,3.15,,6.50,3.20,1.25,1 ,1.85,1.50,1.22,1.25,1.27,1.05,3.40,2.20,1.25,1.30,2.30,1.02,3.75,2.20,1.75,4.25,25.00
