Lig,Ev Sahibi,Misafir,IY,MS,1,X,2,1.1,X.1,2.1,H1,HX,H2,Var,Yok,1 X,1 2,X 2,A,U,A.1,U.1,A.2,U.2,A.3,U.3,0 1,2 3,4 6,7+,IY-EvSahibi,IY-Deplasman,MS-EvSahibi,MS-Deplasman,MS-Sonuc,MS-Gol
 ASK,Katar,Birlesik Arap E,2   0,4   0,1.9,2.6,3.5,2.6,1.6,4.0,3.75,3.0,1.5,1.0,1.0,1.1,1.23,1.49,1.05,3.4,2.05,1.3,1.25,2.5,1.01,4.0,2.05,1.75,4.75,28.0,2,0,4,0,1.0,1.0
 FÝK,Helsinki,Hifk,1   0,1   0,1.15,4.4,9.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.03,3.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1,0,1.0,0.0
 POR2,Farense,Porto (B),0   0,0   0,2.4,2.7,2.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.27,1.2,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0
 POR2,Estoril,Braga (B),1   0,2   1,1.45,3.3,4.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.11,1.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,2,1,1.0,0.0
 POR2,Varzim,Leixoes,0   0,2   1,2.3,2.7,2.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.24,1.17,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,2,1,1.0,0.0
 TÜK,Galatasaray,Boluspor,2   0,4   1,1.25,4.0,6.5,1.5,2.35,5.0,1.65,3.6,2.55,1.45,1.8,1.0,1.05,2.48,1.4,1.85,4.0,1.01,2.05,1.4,1.4,1.85,4.0,2.05,2.15,10.0,2,0,4,1,1.0,1.0
 AL2,Bochum,Duisburg,2   0,2   1,1.65,3.1,3.75,2.1,1.9,4.0,2.6,3.3,1.7,1.5,1.7,1.08,1.15,1.7,1.2,2.4,2.9,1.1,1.7,1.65,1.2,2.4,2.9,1.8,2.9,16.0,2,0,2,1,1.0,0.0
 FR2,Metz,Nancy,1   0,3   0,1.45,3.2,5.0,1.95,1.75,4.5,2.25,3.1,1.95,1.85,1.5,1.0,1.12,1.95,1.1,2.9,2.4,1.2,1.4,2.05,1.05,3.4,2.4,1.75,3.75,20.0,1,0,3,0,1.0,0.0
 POR,Benfica,Boavista,2   1,5   1,1.05,5.8,12.7,1.25,2.8,10.0,1.3,3.75,4.15,1.7,1.5,1.0,1.0,3.98,1.4,1.85,4.0,1.01,2.05,1.4,1.4,1.85,4.0,2.1,2.15,9.0,2,1,5,1,1.0,1.0
 POR,Portimonense,Chaves,0   1,0   1,1.6,2.9,4.35,2.05,1.75,4.25,2.5,3.25,1.75,1.45,1.8,1.0,1.17,1.74,1.25,2.2,3.4,1.05,1.7,1.65,1.25,2.2,3.4,1.8,2.6,15.0,0,1,0,1,2.0,0.0
 DUEL,Aberdeen,Benfica,3   2,4   5,1.75,4.75,2.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.28,1.0,1.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,4,5,2.0,1.0
